"Type","Buy","Cur.","Sell","Cur.","Exchange","Comment","Date"
"Trade","0.00211165","BTC","100.00000000","EUR","BlockFi","","2021-02-26"
"Trade","0.10797738","BTC","0.00000000","0","","","2021-02-26"
"Trade","10.00000000","BTC","1000000.00000000","PLN","","","2021-02-26"
"Trade","0.01903620","BTC","800.00000000","CHF","","","2021-02-26"
"Withdrawal","","","5.00000000","ETH","","","2021-02-26"
"Trade","0.05395950","BNB","10.50000000","EUR","","","2021-02-26"
"Withdrawal","","","50300.00000000","USDT","","","2021-02-26"
"Deposit","1.00000000","BTC","","","","","2021-02-26"
"Deposit","2.00000000","ETH","","","","","2021-02-26"
"Deposit","123.00000000","STORJ","","","","","2021-02-25"
"Deposit","157.00000000","STX2","","","","","2021-02-25"
"Deposit","6.70000000","SUSHI","","","","","2021-02-25"
"Deposit","42.00000000","SXP","","","","","2021-02-25"
"Deposit","30.00000000","THETA","","","","","2021-02-25"
"Deposit","50.00000000","TOMO","","","","","2021-02-25"
"Deposit","2.00000000","TRB","","","","","2021-02-25"
"Deposit","2000.00000000","TRX","","","","","2021-02-25"
"Deposit","120.00000000","TWT","","","","","2021-02-25"
"Deposit","5.00000000","UNI2","","","","","2021-02-25"
"Deposit","2150.00000000","VET","","","","","2021-02-25"
"Deposit","9.00000000","WAVES","","","","","2021-02-25"
"Deposit","3.20000000","WING","","","","","2021-02-25"
"Deposit","180.00000000","XEM","","","","","2021-02-25"
"Deposit","200.00000000","XLM","","","","","2021-02-25"
"Deposit","0.46000000","XMR","","","","","2021-02-25"
"Deposit","20.00000000","XTZ","","","","","2021-02-25"
"Deposit","1.35000000","XVS","","","","","2021-02-25"
"Deposit","0.80000000","ZEC","","","","","2021-02-25"
"Deposit","750.00000000","ZIL","","","","","2021-02-25"
"Deposit","65.00000000","ZRX","","","","","2021-02-25"
"Deposit","724.00000000","XRP","","","","","2021-02-25"
"Lost","","","0.00000060","BTC","","Prowizja za kupno 002","2021-02-25"
"Trade","3.85000000","BTC","1.00000000","EUR","","","2021-02-25"
"Deposit","400.00000000","EUR","","","BISON","","2021-02-24"
"Deposit","80.00000000","EUR","","","","","2021-02-24"
"Trade","16.72000000","NANO","80.00000000","EUR","","","2021-02-24"
"Trade","3.21000000","ETH","5000.00000000","CHF","Kraken","","2021-02-23"
"Trade","500.00000000","DGB","35.00000000","USD","Binance","","2021-02-23"
"Trade","1.00000000","BNB","262.00000000","USD","Binance","","2021-02-23"
"Deposit","200.00000000","EUR","","","Kraken","Deposito inicial","2021-02-22"
"Trade","0.03000000","BTC","200.00000000","EUR","Kraken","","2021-02-22"
"Deposit","60.00000000","BTC","","","","","2021-02-22"
"Deposit","35108.00000000","TFUEL","","","","","2021-02-22"
"Trade","0.17251000","ETH","218.50000000","GBP","","","2021-02-22"
"Trade","0.03871300","BTC","1470.50000000","GBP","Binance","","2021-02-22"
"Trade","45.40000000","XRP","100.00000000","POLISH","","","2021-02-22"
"Staking","10.70501417","VTHO","","","Bitvavo","","2021-02-22"
"Staking","0.00130641","ETH","","","Bitvavo","","2021-02-22"
"Staking","0.00005252","BTC","","","Bitvavo","","2021-02-22"
"Staking","1.09895300","ADA","","","Bitvavo","","2021-02-22"
"Trade","300.00000000","CAKE","0.00000000","USD","","","2021-02-22"
"Trade","3071.00000000","4ART","726.00000000","USDT","Mit Muko und Mustafa","","2021-02-22"
"Trade","1156.85000106","DGB","221.69358750","CVC","Exodus","","2021-02-20"
"Trade","0.20500000","XVS","0.20500000","XVS","","","2021-02-20"
"Trade","2.23900000","CAKE","2.23900000","CAKE","","","2021-02-20"
"Trade","0.11186737","BTC","27.88000000","LTC","","","2021-02-20"
"Trade","1.00000000","DOT2","1.00000000","DOT2","Binance","","2021-02-20"
"Trade","100.00000000","DOT2","3154.97000000","EUR","Kraken","","2021-02-20"
"Withdrawal","","","0.01700000","BTC","","","2021-02-20"
"Deposit","1.96000000","BTC","","","","","2021-02-19"
"Trade","975.00000000","USDT","3.00000000","BNB","Binance","DCA Out","2021-02-19"
"Withdrawal","","","2673.30000000","USDT","VCC","B? tr? phí 15usdt nh?ng th?c ra là 70usdt","2021-02-19"
"Withdrawal","","","1.00000000","BTC","Bison App","","2021-02-19"
"Trade","575.00000000","EOS","3000.00000000","USD","","","2021-02-19"
"Deposit","0.00000000","COMP","","","coinbase","","2021-02-19"
"Deposit","0.00000000","OMG","","","coinbase","","2021-02-19"
"Deposit","0.00000000","ENJ","","","binanceUS","","2021-02-19"
"Trade","27.67000000","AVAX","1127.73520000","USD","binance","","2021-02-18"
"Trade","1128.67880000","USDT","227.07000000","CELO","binance","","2021-02-18"
"Withdrawal","","","0.37471725","BNB","","","2021-02-18"
"Income","1000.00000000","DOGE","","","","","2021-02-18"
"Trade","43020.67000000","EUR","0.01002200","BTC","binance","","2021-02-18"
"Gift","","","100.00000000","USD","","","2021-02-18"
"Gift/Tip","2818.00000000","LTO","","","","","2021-02-18"
"Gift/Tip","1966.00000000","XLM","","","","","2021-02-18"
"Gift/Tip","566.00000000","CTXC","","","","","2021-02-18"
"Trade","0.00429000","BTC","184.76000000","EUR","Crypto.com","","2021-02-17"
"Withdrawal","","","0.10000000","BTC","","","2021-02-17"
"Trade","0.24427000","ETH","42.53200000","USDT","","","2021-02-17"
"Trade","111.00000000","DOT","0.06804574","BTC","","","2021-02-16"
"Trade","295.38631800","USDT","245.00000000","EUR","Binance","Manuell ohne Gebühr Euro Einzahlung Konto","2021-02-16"
"Trade","239.29277254","1INCH","0.65000000","ETH","Metamask","","2021-02-16"
"Trade","0.00047000","FIL","19.70000000","USDT","","","2021-02-16"
"Trade","609.03968876","ARMOR","0.40000000","ETH","Metamask","","2021-02-16"
"Trade","0.46295354","COVER","0.40000000","ETH","Metamask","","2021-02-16"
"Trade","1847.55060000","USD","3496.50000000","ENJ","Binance US","","2021-02-16"
"Trade","1107.45000000","EUR","0.02584481","BTC","BSDEX","","2021-02-16"
"Trade","15029.77270000","USDT","15044.81760000","USDC","KuCoin","","2021-02-16"
"Deposit","100.00000000","EUR","","","Bitpanda","","2021-02-16"
"Trade","200.00000000","ADA","50.00000000","EUR","Bitpanda","","2021-02-16"
"Trade","63.00000000","ADA","61.00000000","EUR","Coinmerce","","2021-02-16"
"Lost","","","0.09260000","BTC","RF","","2021-02-16"
"Trade","21.20800000","VXVS","999.99100000","USDT","","","2021-02-15"
"Trade","0.88103506","DAI","0.00521438","ZEC","Coinbase","","2021-02-15"
"Trade","4.20000000","LINK","2500.00000000","DOGE","","","2021-02-15"
"Trade","1.00000000","BTC","20000.00000000","PLN","","","2021-02-15"
"Trade","0.04307000","BTC","191.00000000","USDT","47000","","2021-02-15"
"Withdrawal","","","8000000.00000000","STON","Caixa","","2021-02-15"
"Deposit","0.01583263","BTC","","","Wallet","from ShakePay","2021-02-15"
"Deposit","0.43990309","ETH","","","Wallet","from ShakePay","2021-02-15"
"Trade","55.78542906","LTC","12395.30000000","USD","","","2021-02-15"
"Deposit","0.05217800","BTC","","","binance","$2432.44  46618/btc","2021-02-15"
"Trade","100.00000000","XLM","337.00000000","XRP","","","2021-02-14"
"Trade","114.54000000","XLM","0.00000000","EUR","","","2021-02-14"
"Trade","114.54000000","XLM","0.00000000","0","","","2021-02-14"
"Trade","28.47000000","DOT","755.00000000","USD","Binance","","2021-02-14"
"Deposit","1.80000000","DOT","","","","","2021-02-14"
"Deposit","0.21148543","LTC","","","","","2021-02-14"
"Trade","2.00000000","XRP","2.00000000","BTC","","","2021-02-14"
"Withdrawal","","","102.50000000","LSK","Bittrex","","2021-02-14"
"Deposit","997.00000000","EUR","","","Binance","","2021-02-14"
"Income","0.10000000","BTC","","","","","2021-02-14"
"Deposit","520.00000000","ADA","","","Binance","","2021-02-14"
"Trade","1512.00000000","COTI","258.22000000","STX2","Mit Sven","","2021-02-14"
"Deposit","0.00019890","BTC","","","","","2021-02-13"
"Trade","500.00000000","LINK","100.00000000","EUR","Bitpanda","","2021-02-13"
"Trade","454.00000000","REEF","23.29791800","USDT","binance","","2021-02-13"
"Trade","100.00000000","MIOTA","100.00000000","EUR","coinmerce","","2021-02-13"
