Event ID,Event Date,Event Time,Event Millis,Order ID,Execution Options,Event Type,Symbol,Order Type,Side,Limit Price (USD),Original Quantity (BTC),Gross Notional Value (USD),Fill Price (USD),Fill Quantity (BTC),Total Exec Quantity (BTC),Remaining Quantity (BTC),Avg Price (USD)
374453669,2017-02-10,00:00:01,241,374453631,maker-or-cancel,Fill,BTCUSD,limit,sell,980.25,15.4157,,980.25,0.02,0.02,15.3957,980.25
374453669,2017-02-10,00:00:01,241,374453667,,Fill,BTCUSD,limit,buy,1500.00,0.02,,980.25,0.02,0.02,0,980.25
374458133,2017-02-10,00:12:02,436,374457749,maker-or-cancel,Fill,BTCUSD,limit,buy,982.97,15.2572,,982.97,2.1,2.1,13.1572,982.97
374458133,2017-02-10,00:12:02,436,374458131,,Fill,BTCUSD,market,sell,,2.1,,982.97,2.1,2.1,0,982.97
374459295,2017-02-10,00:14:59,947,374459154,maker-or-cancel,Fill,BTCUSD,limit,sell,984.58,15.2796,,984.58,0.02,0.02,15.2596,984.58
374459295,2017-02-10,00:14:59,947,374459293,,Fill,BTCUSD,limit,buy,1500.00,0.02,,984.58,0.02,0.02,0,984.58
374459429,2017-02-10,00:15:26,612,374459415,maker-or-cancel,Fill,BTCUSD,limit,sell,984.58,15.1834,,984.58,0.1279651,0.1279651,15.0554349,984.58
374459429,2017-02-10,00:15:26,612,374459427,,Fill,BTCUSD,limit,buy,994.43,0.1279651,,984.58,0.1279651,0.1279651,0,984.58
374460190,2017-02-10,00:18:10,11,374459498,maker-or-cancel,Fill,BTCUSD,limit,sell,984.58,15.3021,,984.58,0.00025328,0.00025328,15.30184672,984.58
374460190,2017-02-10,00:18:10,11,374460188,immediate-or-cancel,Fill,BTCUSD,limit,buy,984.58,0.00025328,,984.58,0.00025328,0.00025328,0,984.58
374460402,2017-02-10,00:18:55,369,374459498,maker-or-cancel,Fill,BTCUSD,limit,sell,984.58,15.3021,,984.58,8.14275122,8.1430045,7.1590955,984.58
374460402,2017-02-10,00:18:55,369,374460400,,Fill,BTCUSD,limit,buy,984.58,8.14275122,,984.58,8.14275122,8.14275122,0,984.58
374462375,2017-02-10,00:21:06,166,374462183,maker-or-cancel,Fill,BTCUSD,limit,sell,985.57,15.1819,,985.57,0.5684939,0.5684939,14.6134061,985.57
374462375,2017-02-10,00:21:06,166,374462373,,Fill,BTCUSD,limit,buy,995.43,0.5684939,,985.57,0.5684939,0.5684939,0,985.57
374462584,2017-02-10,00:21:37,499,374462429,maker-or-cancel,Fill,BTCUSD,limit,sell,985.57,15.1955,,985.57,3.0039454363,3.0039454363,12.1915545637,985.57
374462584,2017-02-10,00:21:37,499,374462582,,Fill,BTCUSD,market,buy,,,,985.57,3.0039454363,3.0039454363,0,985.57
374462910,2017-02-10,00:22:44,874,374461937,maker-or-cancel,Fill,BTCUSD,limit,buy,983.61,7.5,,983.61,7.5,7.5,0,983.61
374462910,2017-02-10,00:22:44,874,374462908,,Fill,BTCUSD,limit,sell,983.08,8.6,,983.61,7.5,7.5,1.1,983.61
374462912,2017-02-10,00:22:44,874,374462812,,Fill,BTCUSD,limit,buy,983.61,0.01326074,,983.61,0.01326074,0.01326074,0,983.61
374462912,2017-02-10,00:22:44,874,374462908,,Fill,BTCUSD,limit,sell,983.08,8.6,,983.61,0.01326074,7.51326074,1.08673926,983.61
374462914,2017-02-10,00:22:44,874,374462818,,Fill,BTCUSD,limit,buy,983.61,0.00353654,,983.61,0.00353654,0.00353654,0,983.61
374462914,2017-02-10,00:22:44,874,374462908,,Fill,BTCUSD,limit,sell,983.08,8.6,,983.61,0.00353654,7.51679728,1.08320272,983.61
374462916,2017-02-10,00:22:44,874,374461943,maker-or-cancel,Fill,BTCUSD,limit,buy,983.08,7.5,,983.08,1.08320272,1.08320272,6.41679728,983.08
374462916,2017-02-10,00:22:44,874,374462908,,Fill,BTCUSD,limit,sell,983.08,8.6,,983.08,1.08320272,8.6,0,983.5432444835348837209302325581395
374463113,2017-02-10,00:22:50,965,374463099,maker-or-cancel,Fill,BTCUSD,limit,sell,985.35,15.2071,,985.35,0.20292825,0.20292825,15.00417175,985.35
374463113,2017-02-10,00:22:50,965,374463111,,Fill,BTCUSD,limit,buy,985.57,0.20292825,,985.35,0.20292825,0.20292825,0,985.35
374463330,2017-02-10,00:23:34,451,374462949,maker-or-cancel,Fill,BTCUSD,limit,buy,983.06,7.5,,983.06,0.145368,0.145368,7.354632,983.06
374463330,2017-02-10,00:23:34,451,374463328,,Fill,BTCUSD,limit,sell,983.06,0.145368,,983.06,0.145368,0.145368,0,983.06
374463866,2017-02-10,00:24:28,208,374463789,maker-or-cancel,Fill,BTCUSD,limit,sell,984.79,7.5,,984.79,0.05074339,0.05074339,7.44925661,984.79
374463866,2017-02-10,00:24:28,208,374463864,,Fill,BTCUSD,limit,buy,985.35,0.05074339,,984.79,0.05074339,0.05074339,0,984.79
374464399,2017-02-10,00:26:00,314,374464001,maker-or-cancel,Fill,BTCUSD,limit,sell,984.78,15.3151,,984.78,0.01013424,0.01013424,15.30496576,984.78
374464399,2017-02-10,00:26:00,314,374464397,,Fill,BTCUSD,limit,buy,984.78,0.01013424,,984.78,0.01013424,0.01013424,0,984.78
374464988,2017-02-10,00:28:39,915,374458788,,Fill,BTCUSD,limit,buy,982.97,0.01652492,,982.97,0.01652492,0.01652492,0,982.97
374464988,2017-02-10,00:28:39,915,374464986,,Fill,BTCUSD,market,sell,,1,,982.97,0.01652492,0.01652492,0.98347508,982.97
374464990,2017-02-10,00:28:39,915,374458800,,Fill,BTCUSD,limit,buy,982.97,0.01326928,,982.97,0.01326928,0.01326928,0,982.97
374464990,2017-02-10,00:28:39,915,374464986,,Fill,BTCUSD,market,sell,,1,,982.97,0.01326928,0.0297942,0.9702058,982.97
374464992,2017-02-10,00:28:39,915,374459760,,Fill,BTCUSD,limit,buy,982.97,0.00265365,,982.97,0.00265365,0.00265365,0,982.97
374464992,2017-02-10,00:28:39,915,374464986,,Fill,BTCUSD,market,sell,,1,,982.97,0.00265365,0.03244785,0.96755215,982.97
374464994,2017-02-10,00:28:39,915,374464159,,Fill,BTCUSD,limit,buy,982.97,0.01326938,,982.97,0.01326938,0.01326938,0,982.97
374464994,2017-02-10,00:28:39,915,374464986,,Fill,BTCUSD,market,sell,,1,,982.97,0.01326938,0.04571723,0.95428277,982.97
374464996,2017-02-10,00:28:39,915,374464186,,Fill,BTCUSD,limit,buy,982.97,0.00269204,,982.97,0.00269204,0.00269204,0,982.97
374464996,2017-02-10,00:28:39,915,374464986,,Fill,BTCUSD,market,sell,,1,,982.97,0.00269204,0.04840927,0.95159073,982.97
374464998,2017-02-10,00:28:39,915,374464192,,Fill,BTCUSD,limit,buy,982.97,0.00452228,,982.97,0.00452228,0.00452228,0,982.97
374464998,2017-02-10,00:28:39,915,374464986,,Fill,BTCUSD,market,sell,,1,,982.97,0.00452228,0.05293155,0.94706845,982.97
374465000,2017-02-10,00:28:39,915,374464935,,Fill,BTCUSD,limit,buy,982.97,0.01341403,,982.97,0.01341403,0.01341403,0,982.97
374465000,2017-02-10,00:28:39,915,374464986,,Fill,BTCUSD,market,sell,,1,,982.97,0.01341403,0.06634558,0.93365442,982.97
374465002,2017-02-10,00:28:39,915,374464950,,Fill,BTCUSD,limit,buy,982.97,0.22356129,,982.97,0.22356129,0.22356129,0,982.97
